11/30/2021, 23:09:58 57360.50
11/30/2021, 23:27:35,57230.50
11/30/2021, 23:27:37,57230.50
11/30/2021, 23:27:38,57230.50
11/30/2021, 23:27:40,57230.50
11/30/2021, 23:27:42,57230.50
11/30/2021, 23:27:44,57230.50
11/30/2021, 23:27:45,57230.50
11/30/2021, 23:27:47,57230.50
11/30/2021, 23:27:49,57230.50
11/30/2021, 23:27:51,57230.50
11/30/2021, 23:27:53,57230.50
11/30/2021, 23:27:55,57230.50
11/30/2021, 23:27:56,57230.50
11/30/2021, 23:27:58,57230.50
11/30/2021, 23:28:00,57230.50
11/30/2021, 23:28:02,57230.50
11/30/2021, 23:28:04,57230.50
11/30/2021, 23:28:05,57230.50
11/30/2021, 23:28:07,57230.50
11/30/2021, 23:28:09,57230.50
11/30/2021, 23:28:11,57230.50
11/30/2021, 23:28:12,57230.50
11/30/2021, 23:28:14,57230.50
11/30/2021, 23:28:16,57230.50
